translit,pos,english,logograms,cuneiform,freq
ina,PRP,in; among; at; by; due to; from; on; over,TA BAR-RA.NA,𒋫,32119
ana,PRP,to; as; at; because of; before; beside; concerning; for,GAM,𒃵,26482
šarru,N,king,LUGAL LUGAL.E MAN LUGAL-ME LUGAL.LUGAL LUGAL.ME,𒈗,21601
ša,DET,of; from; concerning; for; per; with; that of; to,MUNUS.KUR,,20650
u,CNJ,and; but; moreover,,,16563
ša,REL,that; where; which; who; whom; whose; what; according to which,,,14345
bēlu,N,lord; owner; possessor; master; proprietor of; weapon,EN BE BE.BE EN-ME U EN.EN,𒂗,12521
lā,MOD,not; without,NU,𒉡,8743
mātu,N,land; all countries; country; ground; sacred precinct?,KALAM KUR KUR.KUR KUR-E.NE KUR.KUR-ME KUR-MU,𒆳,8411
libbu,N,"interior; heart; thought; heart, inner body; belly; inner body; bowels; centre",,,6231
ilu,N,god; fate; luck; temple,DINGIR DINGIR-ME DINGIR.DINGIR DINGIR-MU DINGIR.RA AN,𒀭,6115
ūmu,N,day; by day; daylight; on that day; that day; today; time; storm(-demon),UD ME UD.DA UD.ME UD.MES UD-ME,𒌓,5469
māru,N,son; baby; boy; darling; member of a group; young man; citizen; descendant,DUMU A DUMU-A.NI DUMU.ME DUMU-ME DUMU-NI,𒀀,5089
rabû,AJ,"big; big one; great; large; big, great; elder; full-grown; powerful",GAL GAL.GAL GAL.GAL-E.NE GAL.GAL.LA GAL-ME GAL.ME,𒃲,4792
alāku,V,go; come back; come; coming; depart; go away; going; pass,DU DU.DU DU-ME GEN.NA,𒁺,4720
šakānu,V,put; achieve; be brought about; create; drive; make; place; scheme,GAR GAR.GAR GAR-ME MA,𒃻,4435
ālu,N,village; city; town; the sign URU; ram; (an ornament),URU.KI URU.URU IRI IRI.IRI URU URU.DIDLI,𒌷𒆠,4393
bītu,N,house; temple; building; chamber; chapel; estate; household; workshop,,,4344
epēšu,V,do; build; make; open; perform; accomplishing; be built; be done,,,4314
adi,PRP,until; times; as far as; as long as; up to; together with; while; for,EN,𒂗,3751
pānu,N,front; beginning; earlier time; face; direction; intention; surface; disposal,IGI IGI.NIGIN IGI.NIGIN.NA PI IGI.MU IGI.2,𒅆,3590
qerbu,N,center; among; in the midst of; inside; centre; amongst; intestine; intestines,,,3505
lū,MOD,indeed; may; if; should; although,,,3344
qātu,N,hand; cause; means; domain; talon; authority; equal part; proportionally,,,3314
ištu,PRP,from; after; since; about; from among,TA,𒋫,3261
muhhu,N,skull; service; top; upon; against; accordance; account; addition,UGU,,2925
eli,PRP,on; at; for; more than; over; against; to; above,UGU UGU-MU,,2838
kīma,PRP,like; as; according to; how?; when; as if; instead of; so that,GIM LIBIR.RA.BI.GIM LIBIR.RA.GIM,,2734
